Year,Research Title,Name of Faculty Researcher / Author,Status of Research,Date Started,Date of Completion,Title of Forum,Venue,Forum Type,Date of Presentation
2022,Anxiety Level of Students and Teachers in Marinduque State College on the Resumption of Face-to-face Classes in the New Normal,"Doreen R. Mascare�as
Emelita R. Rodelas
Marilyn A. Mayores
Desiree Anne Sto.Domingo",Completed,6/15/2022,10/15/2022,11th MHRDC Health Research  Forum, via Zoom,Regional,"November 10-11, 2022"
2022,An outlook of the demand for salt of the Fish processing industry in Marinduque,"Harvey A. Dulay, Doreen R. Mascare�as, John Paul R. Mataya, Reyalyn V. Malapad,
Cherry Rose Robles, Frederick Ciriaco, and Eulogio R. Medina, Jr.",Completed,1/7/2022,1/10/2022,"1st Philippine
Salt Congress 2022 ",Pangasinan State University,National,"November 26-27, 2022"
2022,Solar Salt Production: The Marinduque State College Experience,"Eulogio R. Medina, Jr., Doreen R. Mascare�as, Harvey A. Dulay and Alexander M. Pascua",Completed,6/15/2022,10/15/2022,"1st Philippine
Salt Congress 2022 ",Pangasinan State University,National,"November 26-27, 2022"
2022,Teaching Literature in the New Normal Landscape: Best Practices and Challenges,Nikka Mae J. Adling,Completed,8/15/2022,11/15/2022,4th International Conference on Interdisciplinary Research Innovations ,La Consolacion University ? Bulacan ,International,"December 2-4, 2022"
2022,"Composition structure of mangrove forest in Marinduque, Philippines",Orlen F. Mores-Mallen,Completed,1/5/2022,1/11/2022,"2nd International Multidisciplinary Conference on Engineering, Technology, Education, Management and Development Studies ",Camarines Sur Polytechnic Colleges ,International,"December 9-10, 2022"
2022,Water Quality parameters of abandoned lake ,Regie F. Mampusti,Completed,1/7/2022,1/12/2022,"2nd International Multidisciplinary Conference on Engineering, Technology, Education, Management and Development Studies ",Camarines Sur Polytechnic Colleges ,International,"December 9-10, 2022"
2022,Examination question classification based on revised Bloom?s Taxonomy using Na�ve Bayes classifier,Kierven A. Villaruel,Completed,6/15/2022,11/15/2022,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom ",Regional,"December 19-20, 2022"
2022,QR Code Security: A Bitplane attack resistant multi-image stenography,"Ronjie Mar L. Malinao
Eunice G. de Luna-Malinao",Completed,7/15/2022,12/15/2022,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022"
2022,Future Energy: Analysis of weather data to  forecast photovoltaic solar energy harvest,"Eunice G. de Luna-Malinao
Ronjie Mar L. Malinao",Completed,6/15/2022,12/15/2022,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022"
2022,AI in Higher Education: Unveiling Faculty Perspective Towards AI through UTAUT Approach,Ryan Clifford L. Perez,Completed,5/15/2022,9/15/2022,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022"
2022,Flood simulation software through CFD Modelling ,Rester S. Jinang,Completed,1/6/2022,1/12/2022,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022"
2022,Digitalization of MSMEs through Development and Implementation of Sales and Inventory Management System (SIMS) Based on Production Monitoring,"Julieta Q. Nabos
Art Jervin L. Magcamit
Christine May L. Nabos
Doreena Joy Capistrano-Borja",Completed,1/11/2021,1/11/2022,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022"
2022,The Effect of Moringa Leaf Extract in the Growth and Yield Performance of Eggplant (Solanum melongena).,Lorraine Joyce Tirao,Completed,1/4/2022,1/7/2022,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022"
2022,"Growing Okra (Abelmoschus esculentus�L.) in Coconut Based Planter Box Supplemented with Different Levels of Biochar, Cocopeat, and Garden Soil Under Drought Condition in Torrijos, Marinduque.",Mariel R. Roldan,Completed,1/3/2022,1/7/2022,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022"
2022,Market Driven Upscale Productivity (MARKUP) of Markaduke,Jeremie R. Robles,Completed,3/15/2022,11/15/2022,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022"
2022,Effect of Different Levels of Fermented Banana Pseudostem with Molasses as Foliar Fertilizer to the Growth and Yield Performance of Eggplant (Solanum melongena).,Krisha M. Pati�o,Completed,1/3/2022,1/9/2022,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022"
2022,Major Factors Affecting Carrot Production in Benguet and Negros Oriental.,Genesi Mae B. Ballesteros and Kristine Joy R. Fidelino,Completed,1/4/2022,1/8/2022,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022"
2022,Market Driven Upscale Productivity (MARKUP) of Markaduke,Joeauna O. Larga-Loto,Completed,7/15/2022,12/15/2022,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022"
2022,"Survey of Native Pig Management Practices in Boac, Marinduque: Basis for Production Efficiency and Profitability",Reyalyn V. Malapad,Completed,2/15/2022,5/15/2022,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022"
2022,Field Testing of Laboratory-reared Seaweed Cultivars from PSU-MSL Culture Facilities to MIMAROPA Region,"Floredel Dangan-Galon, Regie F. Mampusti,
Billy S. Saguimo, 
Roselle S. Sua",Completed,1/15/2022,12/15/2022,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022"
2022,Preliminary Characterization of Markaduke Boar Sperm Motion Kinematics,"Giselle M. Perlas
Jeremie R. Robles
Michelle L. Se�o
Joeauna L. Loto",Completed,1/3/2022,1/8/2022,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022"
2022,Acceptability of Healthy Bread Flavored with Bitter Gourd (Momordica charantia),"Pinky May R. Nicolas
Noelina DM. Ricafranca
Loverell Rejano
Kristine Joy R. Fidelino
Cherry Rose M. Robles",Completed,1/4/2022,1/7/2022,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022"
2022,Book Nook Marinduque through Hibla Local Filipina creative and talent output in selected Marinduque Districts: Basis for Island and Archipelagic Heritage Studies online course,Randy T. Nobleza,Completed,1/5/2022,1/11/2022,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022"
2022,"Impact of legislative actions enacted by the sangguning bayan of Sta. Cruz, Marinduque: 2016-2019","Eran Jefferson P. Orejuila
Wilmer L. Imperio II
Anne Grace M. Labatete",Completed,4/20/2022,8/20/2022,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022"
2022,Assessment on the relevance of knowledge acquired by the Bachelor of Public Administration students as applied on their practicum: Basis for Curriculum Enhancement,"Evangeleen M. Prado
Anne Grace M. Labatete",Completed,5/8/2022,5/12/2022,8th Regional Science and Technology Conference ,"Marinduque State College Tanza, Boac, Marinduque via Zoom",Regional,"December 19-20, 2022"
2021,An English Language Learners Perspective: Implementation of Flexible Blended Learning in an ESL Learning Context,Nikka Mae Adling,Completed,10/5/2020,1/5/2021,3rd DLSAU International Multidisciplinary Research Conference,De La Salle Araneta University via microsoft teams,International,"January 22-23, 2021"
2021,"Remote Flexible Blended Learning as an Instructional Modality for Physical Course amidst the COVID-19 Pandemic: A Phenomenological Study on the Experiences, Challenges Encountered and Suggestions of Students in a Public College",Bernice Jacob V. Garcia,Completed,9/15/2020,12/15/2021,3rd DLSAU International Multidisciplinary Research Conference,De La Salle Araneta University via microsoft teams,International,"January 22-23, 2021"
2021,Utilization of Kamansi Seeds,Rudolph L. Malinao,Completed,10/5/2020,1/5/2021,3rd DLSAU International Multidisciplinary Research Conference,De La Salle Araneta University via microsoft teams,International,"January 22-23, 2021"
2021,"Learning Under Lockdown: ELS Students? Experiences, Challenges, and Suggestions on Remote Learning  in the Rural Setting Amidst the COVID-19 Pandemic",Giannina Elaine M. Labicane,Completed,9/1/2020,1/1/2021,3rd DLSAU International Multidisciplinary Research Conference,De La Salle Araneta University via microsoft teams,International,"January 22-23, 2021"
2021,E-Skwela in the Age of Pandemic: Perception of BA Communication Students in the Use of Virtual Classrooms for the Online Classes,Anna Roffel O. Lozada,Completed,9/15/2020,1/15/2021,3rd International Congress in Multidisciplinary Research ,via zoom video conference,International,"February 12-14, 2021"
2021,"Response of Local Government Unit Towards Covid-19 Pandemic: A Study of Health Crisis Communication Management of Barangay Pili, Mogpog, Marinduque",Jerome Lingon,Completed,7/15/2020,12/15/2020,3rd International Congress in Multidisciplinary Research ,via zoom video conference,International,"February 12-14, 2021"
2021,Success and Challenges of BSIT Students in Learning English in a Flexible Blended Learning Context,Nikka Mae  Adling,Completed,9/15/2020,12/15/2021,3rd Linguistic Society of the Philippines International Conference 2021 (LSPIC 2021) ,University of Sto. Tomas via Zoom ,International,"March 11-13, 2021"
2021,Transitivity Analysis of Public Forum Responses of Candidates for SUC President in Marinduque State College,Cherie Ann M. Luna,Completed,12/1/2020,2/1/2021,3rd Linguistic Society of the Philippines International Conference 2021 (LSPIC 2021) ,University of Sto. Tomas via Zoom ,International,"March 11-13, 2021"
2021,Tanawing Pangwika: Isang Pag-aaral sa Kasiglahan ng Wika sa Poblasyon ng Summer Capital ng  Marinduque,Marieneth L. Malubag,Completed,1/15/2020,6/15/2020,3rd Linguistic Society of the Philippines International Conference 2021 (LSPIC 2021) ,University of Sto. Tomas via Zoom ,International,"March 11-13, 2021"
2021,Perception of ELS Students on the Use of Open Education Resources (OER) for Remote Learning,Giannina Elaine M. Labicane,Completed,10/1/2020,1/15/2021,3rd Linguistic Society of the Philippines International Conference 2021 (LSPIC 2021) ,University of Sto. Tomas via Zoom ,International,"March 11-13, 2021"
2021,Development and Validation of Technology-Enhanced Module for Teaching Oral Communication in Context,Cristina S. Atienza,Completed,10/15/2020,2/15/2021,3rd Linguistic Society of the Philippines International Conference 2021 (LSPIC 2021) ,University of Sto. Tomas via Zoom ,International,"March 11-13, 2021"
2021,"Enhancement, Restoration, and Protection of Nipa Stands in Marinduque","Doreen R. Mascare�as*
Wilson R. Paez
Reyalyn V. Malapad
Harvey A. Dulay
Desiree Anne Sto.Domingo ",    Ongoing,1/1/2020,12/31/2022,2nd International Conference on Governance and Development (ICDG2),University of the Philippines Los Ba�os,International,"March 23-25, 2021"
2021,Analysis of Difficulty Levels of Information Technology Tools During the Pandemic,Lorimer Imperio ,Completed,12/15/2020,3/15/2021,"17th International Conference on Technology, Knowledge, and Society","University of Melbourne, Australia ? Technology, Knowledge & Society Research Network",International,"April 6-9, 2021"
2021,Healing Practices used by Traditional Doctors: The Effectiveness in Medication,Bernice Jacob V. Garcia,Completed,1/10/2021,3/10/2021,"International Virtual Multidisciplinary Research Conference
",St. Dominic College of Asia,International,"April 26-27, 2021"
2021,"Phytochemical and Mineral Analysis of Trichantera Gigantea established in Markaduke Research and Development Center (MRDC) Marinduque, Philippines",Joeauna L. Loto,Completed,1/5/2021,4/5/2021,5th International Conference in Latest Trends of Education and Research (ICILTER) ,via Zoom - Global Researchers Association and Convergence for Excellence (GRACE) Inc.,International,"May 13-15, 2021"
2021,Acid Drainage from Sulphidic Mine Wastes: Comparing Continental Climate Mainland and Tropical  Climate Sea Deposition Settings,"Roja L. Medianista
Erzsebet Harman-Toth 
Isma Irshad,
Tamas Gabor Weiszburg",Completed,12/15/2020,4/15/2021,"ACTA Mineralogica-Petrographica Department of Mineralogy, Geochemistry and Petrology ","University of Szeged, Szeged, Hungary",International,"May 13-14, 2021"
2021,Inventory Management and Recordkeeping Practices of Paru-Paro Farms in the Province of Marinduque: Basis for Improved Financial Management Strategies,Alfredo M. Ofrecio III,Completed,11/15/2020,4/15/2021,"Philippine Institute of Certified Public Accountants (PICPA Foundation, Inc.) National Association of Certified Public Accountants in Education ",via zoom,International,"May 14-15, 2021"
2021,Flexible Blended Learning Experiences of Marinduque State College Students: Implications to the Development of English Language Learning Proficiency ,Nikka Mae J. Adling ,Completed,1/15/2020,6/15/2020,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,2021-06-29
2021,Na Dolores Na: Exploring the Awareness of Teenagers to their Barangay?s Origin,"Randy T. Nobleza*, Ronnie Mae P. Rullan and 
Queen Hyra Joy M. Naling ",Completed,1/15/2021,5/15/2021,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,2021-06-29
2021,Taza: Verity of the Myth and its Social Inferences to the Inhabitants of Barangay Tanza ,"Randy T. Nobleza*, 
Gabrielle L. Ricafrente",Completed,1/15/2021,5/15/2021,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,2021-06-29
2021,Validation and Acceptability of the Developed E-module in  Mathematics 9,Jamieca M. Morales,Completed,3/1/2021,6/1/2021,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,2021-06-29
2021,"Spatial Variation of Macroinvertebrate Communities in Seagrass Habitats and Ecotones between Adjacent Habitats in Marinduque Island, Philippines ",Regie F. Mampusti,Completed,12/15/2020,6/15/2021,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,2021-06-29
2021,Intensification of the Utilization of Coconut Husk in the Province of Marinduque,"Harvey A. Dulay,Doreen R. Mascare�as Shela May Morillo*, Rodel Manrique, Edmund Macapia, Ronamel Malco",    Ongoing,7/9/1905,7/13/1905,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,2021-06-29
2021,Holistic and Ecofriendly Actions with Locals towards Healthy Community (HEALTH Comm.) Programs in Philippines: An Impact Assessment,Kane Carol T. Matibag,Completed,1/15/2021,6/15/2021,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,2021-06-29
2021,Performance of the Barangay  Disaster Risk Reduction and  Management Committee in Island and Mainland Barangays in Marinduque,Keam Eric L. Malabayabas,Completed,1/20/2021,5/20/2021,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,2021-06-29
2021,Web-based Loan Management for Mogpog Multi-Purpose  Cooperative,"Eunice De luna- Malinao*, Jerome L. Alcala, John Cris E. Ortiz, Judith G. Montero, Riza G. Lacdao",Completed,1/15/2021,5/15/2021,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,2021-06-29
2021,Parental Engagement in ICT Related subjects: A Case Study on the Role and Competencies of Parents in Children?s Learning amidst Pandemic,"Beneden Morong Logmao*, Arben A. Ornedo, Christine May L. Nabos, Ivy Joy N. Aguiflor",Completed,1/15/2021,6/15/2021,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,2021-06-29
2021,"National ICT Competency Standards (NICS) Basic Assessment on Selected Personnel in the Municipal Government of Boac, Marinduque",Katrina Evangelista-De mesa,Completed,12/15/2020,6/15/2021,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,2021-06-29
2021,"Web-Based Monitoring and Controlling   System of Swine Feeding, Bathing, and Manure Cleaning for Marinduque Local Pig Farmers Using Arduino, Raspberry Pi and Internet of Things (IoT)","Ana Fe N. Molato*, Bernard Allen Montalban, Danielle Magyaya,  
Angelica Montiano and Jonielyn Villaruel",Completed,1/20/2021,5/20/2021,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,2021-06-29
2021,"Web-Based Monitoring and Controlling   System of Swine Feeding, Bathing, and Manure Cleaning for Marinduque Local Pig Farmers Using Arduino, Raspberry Pi and Internet of Things (IoT)","Doreen R. Mascare�as, Harvey A. Dulay, Jayson Loto, Ma. Edelwina M. Blas�, Gil Magdurulan, Desiree Anne M. Sto. Domingo*, Edmund Macapia, and  John Paul Mataya",Completed,11/18/2020,3/18/2021,6th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,2021-06-29
2021,"Subsistence of Arts and Cultural Heritage in the Island Province of Marinduque, Philippines: Education Challenges in the New Normal ",Rex Emmanuel L. Asuncion,Completed,1/15/2021,6/15/2021,2nd International Research and Education  Summit (2nd IRES) ,via Zoom,International,"July 24-26, 2021"
2021,Mapping of Selected Social Practices as Intangible Cultural Heritage in Marinduque,Bernadette N. Del Prado,Completed,1/15/2021,6/15/2021,2nd International Research and Education  Summit (2nd IRES) ,via Zoom,International,"July 24-26, 2021"
2021,Exploring the Traditional Marindukanon Recreational Games as Input for Learning Module in  P.E. Based on the ASCP Whole Child Framework,Genil S. Labaguis,Completed,1/15/2021,6/15/2021,2nd International Research and Education  Summit (2nd IRES) ,via Zoom,International,"July 24-26, 2021"
2021,A Narrative Inquiry of Youth Engagement in Environmental Stewardship as Influenced by Social Actors,Joshua Aaron M. Pagulayan,Completed,1/5/2021,5/5/2021,2nd International Research and Education  Summit (2nd IRES) ,via Zoom,International,"July 24-26, 2021"
2021,"Succession, Abundance, Severity of Damage, and Natural Enemies of Arthropod Pests Associated with Chrysanthemum (Dendranthema grandiflora Tzvelev)",Adrian S. Mausig,Completed,11/15/2020,4/15/2021,"1st International Agriculture, Biosystems and Technology  Conference (1st IABT  Conference 2021)",Tarlac  Agricultural University,International,"July 22-23, 2021"
2021,"Seagrass Gleaning Fisheries in Marinduque Island, Philippines: Socio-Ecological Approach",Regie F. Mampusti,Completed,1/20/2021,6/20/2021,International Multidisciplinary Research Colloquium (IMRC) ,President Ramon Magsaysay State University via online teleconferencing,International,"August 10-11, 2021"
2021,Electro-Pneumatic Banana Slicing Machine,"Edgardo R. Laririt
Michael Angelo M. Dimaon
Jeffrey Lumagui",Completed,2/15/2021,7/15/2021,Regional Invention Contest and Exhibits (RICE) ?DOST-TAPI,via Zoom,Regional,"August 10-12, 2021"
2021,Nipa Plantation and Bioethanol  Production Amidst the COVID-19 Pandemic: A Potential Sustainable Livelihood for the Local Community Partners,"Doreen R. Mascare�as
Harvey A. Dulay
Wilson Paez
Desiree Anne Sto.Domingo
Reyalyn V. Malapad",    Ongoing,1/1/2020,12/31/2022,"2nd International Conference on Education, Environment and Agriculture (ICEEA2021)",via Zoom,International,"August 25-26, 2021"
2021,Technological Capacity and Academic Compliance of Allied Health Students in Marinduque State College: Basis in the Crafting of Flexible Learning Guidelines,Marvin P. Plata,Completed,6/15/2021,10/15/2021,10th MHRDC Health Research Forum ? MIMAROPA Health Research and Development Consortium ,via Zoom ,Regional,"November 9-10, 2021"
2021,"Masid-Bakuna Kontra COVID-19: Vaccination Status among Students of Marinduque State College, Basis for Interventions","Plata, Marvin P., 
M. C. Ocampo, 
J. R. Lea�o, 
M. M. Manay-Reynoso,
 J. V. Malilay, 
M. D. Pardilla, 
Pajanustan, Gerald M",Completed,9/1/2021,11/1/2021,10th MHRDC Health Research Forum ? MIMAROPA Health Research and Development Consortium ,via Zoom ,Regional,"November 9-10, 2021"
2021,Covid-19 Vaccination Hesitancy Survey in Marinduque Province ,"Mascare�as, Harvey Dulay, Ryan Lea�o, Diosdado P. Zulueta, Marilyn Mayores, Cherry Rose Mantala, Frederick Ciriaco, Julie Rodelas, Marvin Plata, Desiree Anne Sto. Domingo",Completed,1/15/2021,5/15/2021,10th MHRDC Health Research Forum ? MIMAROPA Health Research and Development Consortium ,via Zoom ,Regional,"November 9-10, 2021"
2021,MSC produced alcohol-based hand sanitizer acceptability and perceived effectiveness of the product: A Frontliner?s perspective,"Doreen R. Mascare�as, Harvey A. Dulay, Shela May H. Morillo, Ronamel Malco, Karlo Reavin Manaois, John Christian Magcamit",Completed,11/18/2020,3/18/2021,10th MHRDC Health Research Forum ? MIMAROPA Health Research and Development Consortium ,via Zoom ,Regional,"November 9-10, 2021"
2021,Financial Management Practices of Selected Agribusiness Enterprises in Marinduque,Michael V. Capina,Completed,3/20/2021,8/20/2021,3rd Global Agribusiness Management & Entrepreneurship Conference  - UP Los Banos & SEARCA,via Zoom ,International,"November 18-19, 2021"
2021,"MSCCA Island and Archipelagic Studies/Island Studies, Living Heritage, Traditions,  and Archipelagic Network for Development (Island) Studies Center and Creative Hub",Randy T. Nobleza,Completed,1/15/2021,7/15/2021,Pambansang Kumperensya ng Pananaliksik sa Araling Pilipino,via Zoom ,National,2021-11-20
2021,Exploring Indigenous Commodities in the Locality: The Case of Arrowroot Industry of Marinduque,Michael V. Capi�a,Completed,4/15/2020,9/15/2021,"5th International Research, Development and Extension (RDE) Management Congress and 30th Naitonal Philarm Convention",via Zoom ,International,"December 9-10, 2021"
2021,Market Driven Upscale Productivity (MARKUP) of Markaduke,Arnolfo M. Monleon,   Ongoing,7/10/1905,7/14/1905,1st Bulacan Agricultural State College  (BASC) International Research Conference - Bulacan Agricultural State College,via Zoom ,International,2021-12-10
2021,Market Driven Upscale Productivity (MARKUP) of Markaduke,"Michelle L. Se�o
Shecel Jann L. Lozano Jeremie R. Robles",   Ongoing,7/10/1905,7/14/1905,"5th International Conference in Research, Education, Management,and the Social Sciences ",via Zoom,International,"December 11-12, 2021"
2021,Tracer Study of Bachelor of Science in Fisheries Graduates of Marinduque State College,Paloma D. De Chavez,Completed,8/1/2020,7/1/2021,International Research Conference on Higher Education (IRCHE) ? Polytechnic University of the Philippines,via Zoom,International,"December 13-16, 2021"
2021,Business Diagnosis Framework: Basis for Designing Strategies for MSMEs,Michael V. Capi�a,Completed,4/20/2021,9/20/2021,International Research Conference on Higher Education (IRCHE) ? Polytechnic University of the Philippines,via Zoom,International,"December 13-16, 2021"
2021,"Profiling The Rural, Urban And Rurban Characteristics Of The Province Of Marinduque",Anne Grace M. Labatete,Completed,1/15/2021,9/15/2021,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 "
2021,Effects On The Academic Performance Of Selected Entrepreneurship Students In Marinduque State College Before And During The Covid-19 Pandemic,Donabel T. Magahis,Completed,3/1/2021,7/1/2021,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 "
2021,Perception Of E-Wallets As The Mode Of Payment For Online Enrolment In Msc,Ryan Clifford L. Perez,Completed,3/1/2021,7/1/2021,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 "
2021,Sda-Base Monte Carlo Simulation For Road Project Scheduling,Rester S. Jinang,Completed,4/1/2021,7/1/2021,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 "
2021,Utilization Of Geotextile From Butuhan (Musa Balbisiana) Pseudo-Stem Fibers,"Valerie N. Linga, Rubicar L. Victorio, John Patrick M. Mandalihan, Wilmar R. Montemar, Kaye Ann Mae M. Ramos",Completed,3/1/2021,8/1/2021,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 "
2021,Digital Analysis On The Matureness Of Coconut Fruit Through Acoustic Classification And Processing: Basis For The Development Of Coconut Husk Maturity Testing Device,Teodoro M. Ricamara,Completed,10/1/2020,10/1/2021,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 "
2021,"Heritage Tourism Potential Of The Former Mining Site In Marinduque Island, Philippines",Lenni Grace Labay Sapungan,Completed,1/1/2021,9/1/2021,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 "
2021,"Level Of Satisfaction Of Barangay Pili, Mogpog On The Programs And Services Delivered By The Local Government Unit","Generoso E. Udanga
Ronalyn Motol
Keisha Udanga",Completed,5/1/2021,10/1/2021,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 "
2021,Physical Environment Quality Of The Roll On/Roll-Off Transport Boats Serving The Marinduque-Lucena Route For Tourism Industry,Lenni Grace Labay Sapungan,Completed,3/1/2021,7/1/2021,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 "
2021,Tourism Marketing Practices Of Selected Beaches In Santa Cruz Marinduque: Basis For Marketing Plan,"Grace Joy Pastrana, Ronnielle Par, Angelica Rey, Jeanie May P. Palatino",Completed,2/1/2021,7/1/2021,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 "
2021,"Tourism Marketing Practices Of Luzon Datum In Mogpog, Marinduque: Basis For Marketing Plan","Jeiszel M. Milambiling, Merryrose Red Palma",Completed,1/1/2021,7/1/2021,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 "
2021,"Needs, Wants And Intentional Factors Affecting Tourists To Return In Marinduque: Basis For Crafting A Sustainable Tourism Industry",Lynle N. Mendoza,Completed,2/1/2021,8/1/2021,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 "
2021,Hanap-Bahay App: A Rental House Management Application,"Kierven A. Villaruel,
Bellie Joe M. Jandusay
Jonazelle M. Nambio
Felix Lazarus N. Limpiada
Jiezelle M. Gasoc",Completed,4/1/2021,8/1/2021,7th Regional Science and Technology Conference,Marinduque State College via Zoom,Regional,"December 15-16, 2021 "
